날짜,원/미국달러,기준금리,dubai,총지수
2023-06-18,1280.1,3.5,75.2,111.16
2023-06-19,1273.5,3.5,75.2,111.16
2023-06-20,1280.7,3.5,75.1,111.16
2023-06-21,1282.2,3.5,75.7,111.16
2023-06-22,1291.5,3.5,74.91,111.16
2023-06-23,1291.4,3.5,74.88,111.16
2023-06-24,1291.4,3.5,74.88,111.16
2023-06-25,1291.4,3.5,74.88,111.16
2023-06-26,1302.2,3.5,74.14,111.16
2023-06-27,1303.8,3.5,72.46,111.16
2023-06-28,1303.1,3.5,74.55,111.16
2023-06-29,1304.3,3.5,74.59,111.16
2023-06-30,1312.8,3.5,75.55,111.16
2023-07-01,1312.8,3.5,75.55,111.29
2023-07-02,1312.8,3.5,75.55,111.29
2023-07-03,1319.4,3.5,74.91,111.29
2023-07-04,1310.0,3.5,74.91,111.29
2023-07-05,1301.7,3.5,76.42,111.29
2023-07-06,1300.8,3.5,76.54,111.29
2023-07-07,1303.8,3.5,78.24,111.29
2023-07-08,1303.8,3.5,78.24,111.29
2023-07-09,1303.8,3.5,78.24,111.29
2023-07-10,1307.3,3.5,77.62,111.29
2023-07-11,1303.8,3.5,78.8,111.29
2023-07-12,1295.0,3.5,79.08,111.29
2023-07-13,1291.4,3.5,79.89,111.29
2023-07-14,1276.2,3.5,79.31,111.29
2023-07-15,1276.2,3.5,79.31,111.29
2023-07-16,1276.2,3.5,79.31,111.29
2023-07-17,1265.8,3.5,78.83,111.29
2023-07-18,1266.1,3.5,79.33,111.29
2023-07-19,1261.6,3.5,79.3,111.29
2023-07-20,1265.4,3.5,79.41,111.29
2023-07-21,1265.8,3.5,79.9,111.29
2023-07-22,1265.8,3.5,79.9,111.29
2023-07-23,1265.8,3.5,79.9,111.29
2023-07-24,1281.7,3.5,83.19,111.29
2023-07-25,1283.8,3.5,84.09,111.29
2023-07-26,1280.7,3.5,83.12,111.29
2023-07-27,1278.7,3.5,84.23,111.29
2023-07-28,1273.4,3.5,85.0,111.29
2023-07-29,1273.4,3.5,85.0,111.29
2023-07-30,1273.4,3.5,85.0,111.29
2023-07-31,1280.0,3.5,85.81,111.29
2023-08-01,1273.8,3.5,85.58,112.28
2023-08-02,1280.7,3.5,84.32,112.28
2023-08-03,1293.0,3.5,86.19,112.28
2023-08-04,1298.8,3.5,87.23,112.28
2023-08-05,1298.8,3.5,87.23,112.28
2023-08-06,1298.8,3.5,87.23,112.28
2023-08-07,1303.9,3.5,86.75,112.28
2023-08-08,1304.1,3.5,87.47,112.28
2023-08-09,1312.6,3.5,88.17,112.28
2023-08-10,1318.3,3.5,87.32,112.28
2023-08-11,1317.3,3.5,87.63,112.28
2023-08-12,1317.3,3.5,87.63,112.28
2023-08-13,1317.3,3.5,87.63,112.28
2023-08-14,1321.1,3.5,87.2,112.28
2023-08-15,1321.1,3.5,86.39,112.28
2023-08-16,1331.3,3.5,85.68,112.28
2023-08-17,1338.3,3.5,86.0,112.28
2023-08-18,1341.6,3.5,86.44,112.28
2023-08-19,1341.6,3.5,86.44,112.28
2023-08-20,1341.6,3.5,86.44,112.28
2023-08-21,1336.9,3.5,86.36,112.28
2023-08-22,1341.5,3.5,86.28,112.28
2023-08-23,1338.7,3.5,86.09,112.28
2023-08-24,1338.0,3.5,84.27,112.28
2023-08-25,1324.0,3.5,85.35,112.28
2023-08-26,1324.0,3.5,85.35,112.28
2023-08-27,1324.0,3.5,85.35,112.28
2023-08-28,1326.6,3.5,85.27,112.28
2023-08-29,1322.5,3.5,85.98,112.28
2023-08-30,1322.0,3.5,86.16,112.28
2023-08-31,1321.4,3.5,88.06,112.28
2023-09-01,1322.3,3.5,89.68,112.85
2023-09-02,1322.3,3.5,89.68,112.85
2023-09-03,1322.3,3.5,89.68,112.85
2023-09-04,1319.2,3.5,89.68,112.85
2023-09-05,1319.3,3.5,90.8,112.85
2023-09-06,1324.3,3.5,91.69,112.85
2023-09-07,1332.6,3.5,90.86,112.85
2023-09-08,1334.7,3.5,91.37,112.85
2023-09-09,1334.7,3.5,91.37,112.85
2023-09-10,1334.7,3.5,91.37,112.85
2023-09-11,1333.4,3.5,91.38,112.85
2023-09-12,1332.4,3.5,92.34,112.85
2023-09-13,1326.1,3.5,92.18,112.85
2023-09-14,1327.8,3.5,93.45,112.85
2023-09-15,1326.1,3.5,93.56,112.85
2023-09-16,1326.1,3.5,93.56,112.85
2023-09-17,1326.1,3.5,93.56,112.85
2023-09-18,1327.6,3.5,93.64,112.85
2023-09-19,1326.0,3.5,93.15,112.85
2023-09-20,1323.7,3.5,93.14,112.85
2023-09-21,1329.3,3.5,93.04,112.85
2023-09-22,1339.1,3.5,93.05,112.85
2023-09-23,1339.1,3.5,93.05,112.85
2023-09-24,1339.1,3.5,93.05,112.85
2023-09-25,1337.6,3.5,92.28,112.85
2023-09-26,1333.7,3.5,93.08,112.85
2023-09-27,1344.8,3.5,94.98,112.85
2023-09-28,1344.8,3.5,93.28,112.85
2023-09-29,1344.8,3.5,92.51,112.85
2023-09-30,1344.8,3.5,92.51,112.85
2023-10-01,1344.8,3.5,92.51,113.27
2023-10-02,1344.8,3.5,91.33,113.27
2023-10-03,1344.8,3.5,91.43,113.27
2023-10-04,1351.3,3.5,86.93,113.27
2023-10-05,1360.6,3.5,85.5,113.27
2023-10-06,1349.4,3.5,85.88,113.27
2023-10-07,1349.4,3.5,85.88,113.27
2023-10-08,1349.4,3.5,85.88,113.27
2023-10-09,1349.4,3.5,88.53,113.27
2023-10-10,1348.3,3.5,88.22,113.27
2023-10-11,1348.3,3.5,87.21,113.27
2023-10-12,1339.6,3.5,87.37,113.27
2023-10-13,1339.9,3.5,90.12,113.27
2023-10-14,1339.9,3.5,90.12,113.27
2023-10-15,1339.9,3.5,90.12,113.27
2023-10-16,1349.4,3.5,89.61,113.27
2023-10-17,1353.8,3.5,89.84,113.27
2023-10-18,1351.9,3.5,90.53,113.27
2023-10-19,1351.7,3.5,90.83,113.27
2023-10-20,1357.6,3.5,90.66,113.27
2023-10-21,1357.6,3.5,90.66,113.27
2023-10-22,1357.6,3.5,90.66,113.27
