날짜          총지수
2025-06-25   116.31
2025-06-26   116.31
2025-06-27   116.31
2025-06-28   116.31
2025-06-29   116.31
2025-06-30   116.31
2025-07-01   116.52
2025-07-02   116.52
2025-07-03   116.52
2025-07-04   116.52
2025-07-05   116.52
2025-07-06   116.52
2025-07-07   116.52
2025-07-08   116.52
2025-07-09   116.52
2025-07-10   116.52
2025-07-11   116.52
2025-07-12   116.52
2025-07-13   116.52
2025-07-14   116.52
2025-07-15   116.52
2025-07-16   116.52
2025-07-17   116.52
2025-07-18   116.52
2025-07-19   116.52
2025-07-20   116.52
2025-07-21   116.52
2025-07-22   116.52
2025-07-23   116.52
2025-07-24   116.52
2025-07-25   116.52
2025-07-26   116.52
2025-07-27   116.52
2025-07-28   116.52
2025-07-29   116.52
2025-07-30   116.52
2025-07-31   116.52
2025-08-01   116.45
2025-08-02   116.45
2025-08-03   116.45
2025-08-04   116.45
2025-08-05   116.45
2025-08-06   116.45
2025-08-07   116.45
2025-08-08   116.45
2025-08-09   116.45
2025-08-10   116.45
2025-08-11   116.45
2025-08-12   116.45
2025-08-13   116.45
2025-08-14   116.45
2025-08-15   116.45
2025-08-16   116.45
2025-08-17   116.45
2025-08-18   116.45
2025-08-19   116.45
2025-08-20   116.45
2025-08-21   116.45
2025-08-22   116.45
2025-08-23   116.45
2025-08-24   116.45
2025-08-25   116.45
2025-08-26   116.45
2025-08-27   116.45
2025-08-28   116.45
2025-08-29   116.45
2025-08-30   116.45
2025-08-31   116.45
2025-09-01   117.06
2025-09-02   117.06
2025-09-03   117.06
2025-09-04   117.06
2025-09-05   117.06
2025-09-06   117.06
2025-09-07   117.06
2025-09-08   117.06
2025-09-09   117.06
2025-09-10   117.06
2025-09-11   117.06
2025-09-12   117.06
2025-09-13   117.06
2025-09-14   117.06
2025-09-15   117.06
2025-09-16   117.06
2025-09-17   117.06
2025-09-18   117.06
2025-09-19   117.06
2025-09-20   117.06
2025-09-21   117.06
2025-09-22   117.06
2025-09-23   117.06
2025-09-24   117.06
2025-09-25   117.06
2025-09-26   117.06
2025-09-27   117.06
2025-09-28   117.06
2025-09-29   117.06
2025-09-30   117.06
2025-10-01   117.42
